b3,Pb3
-5.131894377839529,0.003881150351002059
-4.7453917000025605,0.0024580618889679705
-4.358889022165592,0.0009056017485671459
-3.9723863443286223,0.0046573804212024705
-3.5858836664916534,0.003881150351002059
-3.1993809886546845,0.008150415737104314
-2.812878310817715,0.008409159093837795
-2.426375632980746,0.004010522029368794
-2.0398729551437773,0.009961619234238618
-1.6533702773068084,0.04165768043408877
-1.2668675994698395,0.15201172208091396
-0.8803649216328706,0.20595971195984214
-0.4938622437959008,0.22627106546342002
-0.10735956595893192,0.2763379049913466
0.279143111878037,0.2763379049913466
0.6656457897150059,0.30531716094549527
1.0521484675519748,0.2743973298158456
1.4386511453889437,0.2353270829490915
1.8251538232259126,0.20790028713534361
2.2116565010628815,0.14386130634380964
2.5981591788998504,0.1063435196174564
2.9846618567368193,0.030531716094549532
3.371164534573788,0.038811503510020585
3.757667212410757,0.011643451053006123
4.144169890247728,0.00711544231017044
4.530672568084697,0.0006468583918336764
4.9171752459216655,0.0005174867134669424
