t,y,y_hat,sigma_y
1975,35,34.872462824158966,1.5337382096239527
1976,30,29.97591686748016,1.5097888381465439
1977,45,44.95235993722449,1.6243866550544568
1978,48,47.944783168983705,1.6585575880544767
1979,66,65.79660632754141,1.7460421383244835
1980,9,9.681638808099462,1.690047477771714
1981,18,17.844905473497963,1.489009551607506
1982,28,27.943467827905334,1.5582038025128073
1983,55,54.92619675068723,1.6888984677165328
1984,54,54.00461217946724,1.6460209372145025
1985,73,72.8958725325886,1.6944852926782394
1986,62,61.9122401878203,1.6071414259779793
1987,60,59.93966850482448,1.707647068442827
1988,54,53.834969527855726,1.6338678131902589
1989,4,5.32570783782825,1.7355849809389898
1990,10,9.994306620263945,1.501445135583621
1991,27,26.848332104655125,1.5763395256430843
1992,42,41.87274307195248,1.5754902994129385
1993,41,40.996181974402845,1.65591418604958
1994,40,39.96576966345991,1.6006486809016585
1995,53,52.91699022528565,1.6162321303366651
1996,54,53.95788042633627,1.6467394191026918
1997,50,49.924643189391496,1.6070350393789568
